model,term,beta,se,p
m0,(Intercept),-0.477302844518836,0.00588830174852653,0
m0,pain_burden_n,0.000545131082789812,0.0017463209001466,0.754919125156614
m0,time,0.141494316577963,0.0012905880735957,0
m0,pain_burden_n:time,0.00223908143790736,0.000348345975898739,1.29505051892401e-10
m1,(Intercept),-0.041855036966548,0.0352511701725997,0.235094514173885
m1,pain_burden_n,0.0043651076954716,0.00208695591084034,0.0364729950102611
m1,time,0.162742848264164,0.00256929998188242,0
m1,age,-0.0118838554211543,0.000521188647182931,4.43602547878736e-115
m1,sex,-0.0984171057878284,0.0106202979267099,1.91657060505356e-20
m1,edu,0.044090428897919,0.00124903091536088,5.93285679454487e-273
m1,urban,0.0781530687135496,0.0134536587535492,6.28257502892155e-09
m1,married,0.23271221393703,0.0127790210141646,4.26128542579496e-74
m1,pain_burden_n:time,0.00103771360601017,0.000570921996173659,0.0691237416221716
m2,(Intercept),0.277207449345935,0.040965644349813,1.31636851619047e-11
m2,pain_burden_n,-0.00454343941512304,0.00211521377378619,0.0317152491640264
m2,time,0.152334854321977,0.00293915772987402,0
m2,age,-0.0146133301089202,0.000534283042835578,1.04242829632053e-164
m2,sex,-0.0847607745940984,0.0144167801994847,4.11970757388334e-09
m2,edu,0.0470991061086176,0.00123584995531731,0
m2,urban,0.119500818840761,0.0132072086804603,1.45409555804303e-19
m2,married,0.0513770788872366,0.0133234974429441,0.00011519833895974
m2,smoke,0.0209029173919472,0.0140146138078776,0.13582800805925
m2,alcohol,0.036996720925451,0.0119409122206564,0.00194623699122644
m2,sleep_hrs,0.00770626894380409,0.00265748098312434,0.00373353503661682
m2,comorb_count,0.0115229732770358,0.0038558276092686,0.00280390364349694
m2,pain_burden_n:time,0.00153250804699471,0.000608384089193387,0.0117694960439626
