"model","term","estimate","se"
"m0","(Intercept)",-0.0203069518651831,0.00674321951676277
"m0","pain_burden_n",-0.0257156706671994,0.00221681021606803
"m0","time",0.0102399827925685,0.00208967042364035
"m0","pain_burden_n:time",0.00236799911442736,0.000707877702237091
"m1","(Intercept)",0.445272779669082,0.0446758692087248
"m1","pain_burden_n",-0.0124975953740935,0.00247491473014751
"m1","time",0.0437477958788694,0.00585749932661797
"m1","age",-0.0157681622964975,0.000664962536219225
"m1","sex",0.00798208989922585,0.0123973368059956
"m1","edu",0.0509044744381467,0.00147550321908931
"m1","urban",0.189721326185088,0.0148016109699616
"m1","married",0.076893191159596,0.0167622321506941
"m1","pain_burden_n:time",0.000786535129657393,0.00189807278286412
"m2","(Intercept)",0.33380818384952,0.0522281490815053
"m2","pain_burden_n",-0.0111979973569624,0.0026552912318413
"m2","time",0.0544492757496082,0.0066096932805228
"m2","age",-0.0152486007635086,0.000688984062227823
"m2","sex",-0.0126884208025558,0.0172882474765525
"m2","edu",0.0509628370935208,0.00149775225206459
"m2","urban",0.187788651189848,0.0150359796473006
"m2","married",0.0696232378406209,0.0170290229485849
"m2","smoke",0.0218317152775827,0.0164140856929738
"m2","alcohol",0.0149318274264795,0.0141278372222341
"m2","sleep_hrs",0.0126893429283203,0.00342030017661607
"m2","comorb_count",-0.000111234126806772,0.00469338198947658
"m2","pain_burden_n:time",0.000809091327161104,0.00210299017432643
