overlap_prop,ols_bias_as_frac_of_effect,ols_bias,overlap_bias,bias_pct_of_effect,corrected_effect,type1_error_null
0.3,0.25,-0.0903,-0.00081,0.225,-0.3606,0.0501
0.5,0.25,-0.0903,-0.00136,0.375,-0.36,0.0502
0.7,0.25,-0.0903,-0.0019,0.526,-0.3595,0.0504
1,0.25,-0.0903,-0.00271,0.751,-0.3587,0.0508
0.3,0.5,-0.1807,-0.00163,0.451,-0.3598,0.0503
0.5,0.5,-0.1807,-0.00271,0.751,-0.3587,0.0508
0.7,0.5,-0.1807,-0.0038,1.051,-0.3576,0.0515
1,0.5,-0.1807,-0.00543,1.502,-0.356,0.0531
0.3,1,-0.3614,-0.00326,0.901,-0.3581,0.0511
0.5,1,-0.3614,-0.00543,1.502,-0.356,0.0531
0.7,1,-0.3614,-0.0076,2.103,-0.3538,0.056
1,1,-0.3614,-0.01086,3.004,-0.3505,0.0623
