"model","term","logOR","se","p"
"primary","(Intercept)",-7.168824626307,0.208449705910693,3.41980792054118e-259
"primary","dpq_depressed",0.665612326416008,0.137722082476323,1.34483417705686e-06
"primary","sleep_trouble",0.385982618508161,0.12254159007116,0.0016337716586536
"primary","func_limitation",1.40058031807626,0.197518852450866,1.3327240623809e-12
"primary","age",0.0521602411642057,0.00310428747565713,2.33398842339659e-63
"primary","factor(sex)2",-0.833058746001206,0.09353310090999,5.26375838214294e-19
"sensitivity_continuous","(Intercept)",-7.31827648186099,0.214084387951046,4.17007289333585e-256
"sensitivity_continuous","dpq_score",0.0574051458017226,0.00991795621471719,7.12287603852619e-09
"sensitivity_continuous","sleep_trouble",0.315114890323598,0.121239683886419,0.00934666807028526
"sensitivity_continuous","func_limitation",1.34110161935957,0.195586841763688,7.04156689109002e-12
"sensitivity_continuous","age",0.0538549296425762,0.00306082531535116,2.69508838017923e-69
"sensitivity_continuous","factor(sex)2",-0.855890787796331,0.0930577181218917,3.66651763355167e-20
"crude","dpq_depressed",0.790900206128479,0.133572299754707,1.5852735985688e-07
"crude","sleep_trouble",0.679596951557203,0.11131656292503,7.77703823422725e-08
"crude","func_limitation",2.65819400387022,0.161490484260733,4.07505579313067e-24
